项目名称,采购单位,代理机构,中标成交方,金额元,截止时间,发布日期,联系人,联系方式,地址,项目编号,来源链接
玉溪智课·AI精准教学系统项目,玉溪市教育体育局,云南宬乙项目管理有限公司,,20900000,2026-08-03 09:00:00,2026-07-13,王亲、蒋静怡、刘瑞醌、师韵涵、李春发,0877-2085789、19038976101（座机）,云南省玉溪市红塔区万商汇15栋4楼,YXZC2026-G1-00476-YNCY-0019,https://www.ggzy.gov.cn/information/deal/html/b/530000/0201/20260713/005306bef32fb54b4ce2b9fadc5012f90b15.html
AI+X创新实验室建设,四川省成都市第二中学,四川国际招标有限责任公司,四川众森同越科技有限公司,5568000,,2026-07-13,邓老师,028-86945017,成都市锦江区红星路一段37号,N5101012026000776,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260713/00517bd13c1da3284edfa464bc8cd8d31136.html
平凉职业技术学院AI智慧文旅虚拟仿真创新实训基地项目001,平凉职业技术学院,,甘肃烨数未来教育科技有限公司,3336000,,2026-07-13,,,,006201721d3bf6df491f8f450f74f682a18d,https://www.ggzy.gov.cn/information/deal/html/b/620000/0203/20260713/006201721d3bf6df491f8f450f74f682a18d.html
教育部工程研究中心AI深度驱动延边黄牛精准养殖分析平台建设,延边大学,中安恒通招标（吉林）有限公司,,3000000,2026-08-12 09:00:00,2026-07-13,杨柳,0433-2733750,吉林省延吉市,采购计划-[2026]-08185号-ZAHT-2026-0707,https://www.ggzy.gov.cn/information/deal/html/b/220000/0201/20260713/0022ae4c98fecd684fd6b2c3e40fcaa48961.html
湖北工业大学学生AI智慧体质评测系统采购系统,湖北工业大学,湖北日晟项目管理咨询有限公司,,2920000,2026-07-24,2026-07-13,黄建东、陶娟、彭伟奇、曾艳云,027-86628266,湖北省武汉市洪山区南李路28号,HBRS-2026061,https://www.ggzy.gov.cn/information/deal/html/b/420000/0201/20260713/0042182325408344427986ee8ec45fa2458f.html
添置AI智慧体育、科创实训教学相关设备项目,四川省达州中学,四川雷速招标代理有限公司,四川汇阁同创科技有限公司,2493359,,2026-07-13,杨老师,0818-2883377,达州市达川区戛云路456号,N5117032026000073,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260713/0051534566e021a64ac696eb92e50cb3450a.html
六安职业技术学院 AI大模型驱动的数智校园全域数据要素与创新应用建设项目,六安职业技术学院,六安市政府采购中心,中电信数智科技有限公司,2288000,,2026-07-13,方有伟,0564-5150913,六安市解放北路1488号,LACGZX-F2026-011,https://www.ggzy.gov.cn/information/deal/html/b/340000/0202/20260713/003459b24e248f15414795d6267c8661c6cc.html
湖北大学智能教学资源（AI数字教材）制作中心建设货物采购项目合同（包一）,湖北大学,,北京智启蓝墨信息技术有限公司,1973800,,2026-07-13,,,,0042dd5f0134349348829f120a7aa1d78168,https://www.ggzy.gov.cn/information/deal/html/b/420000/0203/20260713/0042dd5f0134349348829f120a7aa1d78168.html
AI驱动的中阳木耳产业智能引导机器人研发项目合同,中阳县工信和科技局,,北京航空航天大学杭州创新研究院,1900000,,2026-07-13,,,,00143c32484000fb4d6e8263ab1fba21771a,https://www.ggzy.gov.cn/information/deal/html/b/140000/0203/20260713/00143c32484000fb4d6e8263ab1fba21771a.html
查验装备相关系统及无人机AI算法技术集成服务采购项目,义乌市低空经济产业发展有限公司,义乌市交旅检测服务有限公司,,1900000,2026-07-21 14:00:00,2026-07-13,李先生,18757647018,浙江省金华市义乌市稠江街道官塘路1237号,YWYGZC202607CG0050（JLJC202607050）,https://www.ggzy.gov.cn/information/deal/html/b/330000/9001/20260713/0033a9c11b31bae44a90ac7721913c851e6b.html
本科AI智慧课程建设,延边大学,中安恒通招标（吉林）有限公司,,1690000,2026-08-13 09:00:00,2026-07-13,杨柳,13404769010,吉林省延吉市,采购计划-[2026]-07866号-ZAHT-2026-0708,https://www.ggzy.gov.cn/information/deal/html/b/220000/0201/20260713/00221bb88e6d34084288be5cb32363187264.html
安徽城市管理职业学院校园安全AI+智慧管理平台,安徽城市管理职业学院,安徽省政府采购中心,联通数字科技有限公司,1498000,,2026-07-13,钱小宇,0551-66223229,合肥市瑶海区淮海大道300号,2026BFAHZ50147,https://www.ggzy.gov.cn/information/deal/html/b/340000/0202/20260713/00347cccaf37f2a94f209405a1f3e6c27f40.html
基于大模型的AI智能辅助医疗服务平台建设服务项目,泸州市精神病医院,,四川睿康致远科技有限公司,1388000,,2026-07-13,,,,0051c17d11b2b27146a99f749b176ee5b31e,https://www.ggzy.gov.cn/information/deal/html/b/510000/0203/20260713/0051c17d11b2b27146a99f749b176ee5b31e.html
河北软件职业技术学院AIoT智慧物联实训室建设项目,河北软件职业技术学院,,百林教育科技（保定）有限公司,968680,,2026-07-13,,,,0013578b04b33149439689c11ad0c651fd0a,https://www.ggzy.gov.cn/information/deal/html/b/130000/0203/20260713/0013578b04b33149439689c11ad0c651fd0a.html
“创客天下·杭向未来”2026海外高层次人才创新创业大赛AI+生物医药与医疗器械专项赛项目,杭州萧山科技城商业运营管理有限公司,杭州博望建设工程招标投标代理有限公司,杭州传化科技城有限公司,848000,,2026-07-13,陈先生,0571-83680329,萧山经济技术开发区江南科技城钱湾生物港 7号楼4楼,萧开企采（2026）40号,https://www.ggzy.gov.cn/information/deal/html/b/330000/9002/20260713/00339a97551fe8064faaa3cf1f0af55382b3.html
AI安消一体智能管理平台（忠山院区）,西南医科大学附属医院,,浙江新门海科技有限公司,828580,,2026-07-13,,,,,https://www.ggzy.gov.cn/information/deal/html/b/510000/0203/20260713/00512bad12698865475e859032c7f01ffd36.html
吴忠市利通区第十六小学校联体“AI赋能科学教育·场景融创提质增效”项目,吴忠市利通区第十六小学,宁夏川越项目管理有限公司,,700000,2026-08-03 09:00:00,2026-07-13,范圣标,0953-8881914,吴忠市利通区迎宾北街980号,NCY【采】-2026-019,https://www.ggzy.gov.cn/information/deal/html/b/640000/0201/20260713/0064ff05fde3d6ef4335b3ac9d6f390f4743.html
融合AIGC与 CoT推理机制识别CT影像的无症状急性冠脉综合症预测系统项目,青海省海南藏族自治州人民医院,青海骁驰项目管理有限公司,,630000,2026-07-24 14:30:00,2026-07-13,旦增先生,0974-8520510,青海省海南州共和县绿洲北路108号,青海骁驰竞磋（服务）2026-033,https://www.ggzy.gov.cn/information/deal/html/b/630000/0201/20260713/0063995f9065de614f5fb4392cd010d3948e.html
大连大学校AI智能平台项目,大连大学,大连锦华项目管理有限公司,大连深度矩阵科技有限公司,544500,,2026-07-13,陈禹晗、孙波、刘金秋,0411-88156193,大连市经济技术开发区学府大街10号,JHCG2026-0508,https://www.ggzy.gov.cn/information/deal/html/b/210000/0202/20260713/0021043e859686534cccb7882a723f68a708.html
广州市白云区集贤小学2026年AI数字课堂数据采集系统采购项目,广州市白云区集贤小学,驿涛工程集团有限公司,,160000,2026-07-21 09:00:00,2026-07-13,江亚明,18213063395,白云区,440111-2026-03264,https://www.ggzy.gov.cn/information/deal/html/b/440000/0201/20260713/00443c865a6b6aba40a3899eaf0af5cc3bf1.html
上海广源人力资源有限公司AI交互真人数字人采购项目-上海广源人力资源有限公司AI交互真人数字人系统采购,上海广源人力资源有限公司,,,,,2026-07-13,,,项目编号:ZHCG2026071301900001,ZHCG2026071301900001,https://www.ggzy.gov.cn/information/deal/html/b/310000/9001/20260713/003199bd092a902f48f6a6baca65a49272c3.html
江西中医药大学中药资源与民族药研究中心中医药AI标本馆建设项目,江西中医药大学,江西省机电设备招标有限公司,,300000,2026-07-24 09:30:00,2026-07-11 00:00:00,朱宏源,0791-86212719,江西省南昌市湾里区梅岭大道1688号,JXTC2026200190,https://www.ggzy.gov.cn/information/deal/html/b/360000/0201/20260711/0036ec5e96a540114e139ad0c4ae16c9e863.html
专业群AI大模型训练与应用平台,长春汽车职业技术大学,吉林省建宏招标有限公司,,4607500,2026-08-04 10:00:00,2026-07-10,孙健,18088666459,长春汽车经济技术开发区新红旗大街1777号,JM-2026-06-04973-C0101,https://www.ggzy.gov.cn/information/deal/html/b/220000/0201/20260710/002225af35b18448456da53fd06044f4a04d.html
吴江区AI+政务服务系统建设（一期）项目,苏州市吴江区数据局,苏州市公共资源交易中心吴江分中心,,2860000,2026-07-24 13:30:00,2026-07-10,包雯蕾,0512-60905719,江苏省苏州市吴江区开平路3688号苏州湾大厦A座,JSZC-320509-JZCG-C2026-0019,https://www.ggzy.gov.cn/information/deal/html/b/320000/0201/20260710/0032ec558577553e4b07bc1ac6f892cef3e7.html
广东工贸职业技术学院启智云平台AI中台建设项目,广东工贸职业技术学院,广州顺为招标采购有限公司,,2579500,2026-07-31 09:30:00,2026-07-10,邹小姐,020-83592216-807,广州市白云区钟落潭镇广从九路688号,GZSW26156FG2171,https://www.ggzy.gov.cn/information/deal/html/b/440000/0201/20260710/0044e239d6cf7cd24a44a969a74a12824757.html
交通视频AI自动巡查与决策指挥系统项目（一期）研发服务,宿迁市交通运输局,宿迁市公共资源交易中心,,1600000,2026-07-21 14:30:00,2026-07-10,翟明科,0527-84355553,宿迁市洪泽湖路151金桥商务大厦A座,JSZC-321300-JZCG-C2026-0043,https://www.ggzy.gov.cn/information/deal/html/b/320000/0201/20260710/00321d64d76d52b1452fac39071d65afec42.html
《采购与供应管理》AI数字教材建设、《创新创业财税通》智慧课程升级、《视觉营销》教材建设服务,四川邮电职业技术学院,中通服供应链股份有限公司,北京世纪超星信息技术发展有限责任公司;重庆大学电子音像出版社有限公司,1000000,,2026-07-10,纪世强、祝云洁、陈一鸣,18328459386、15328750048、13808193211,四川省成都市锦江区静康路536号,N5100012026001544,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260710/00516dd950a26594440ea41cef6f060cc571.html
2025年现代职业教育质量提升计划中央专项资金建设项目（AI智慧教室建设）,黎平县中等职业学校,贵州数峰项目管理咨询有限公司,贵州云教智诚科技有限公司,659800,,2026-07-10,高振贵,13708558819,贵州省贵阳市南明区花果园街道花果园后街彭家湾危旧房、棚户区改造项目一期16栋1单元32层2号,P52263120260006D9,https://www.ggzy.gov.cn/information/deal/html/b/520000/0202/20260710/00529848ac98a83847b990bfab869cb183f1.html
AI太阳能红外相机采购及布设项目(二次),黄龙国家级风景名胜区管理局,四川东宸国际招标有限公司,四川华之界生态环境工程有限公司,489000,,2026-07-10,刘婉曦,18990432277,四川省阿坝州松潘县瑟尔嵯寨,N5132112026000159,https://www.ggzy.gov.cn/information/deal/html/b/510000/0202/20260710/00514453035e2607419a9b15694770d6ae5d.html
苏大附一院AI药学人力资源分析预测模型,苏州大学附属第一医院,苏州市政府集中采购中心,,150000,2026-07-24 09:30:00,2026-07-10,杨丰忆,0512-67972847,江苏省苏州市十梓街188号,JSZC-320500-JZCG-C2026-0120,https://www.ggzy.gov.cn/information/deal/html/b/320000/0201/20260710/003298c7a78614d8473189601ae60b2fc7ed.html
“萧粮一事通”AI智能体采购项目,杭州萧山粮食购销有限责任公司,浙江华耀建设咨询有限公司,浙江浙大网新软件产业集团有限公司,99000,,2026-07-10,周炳,15867103190,萧山区新塘街道商城南路577号,HY-2026-014,https://www.ggzy.gov.cn/information/deal/html/b/330000/9002/20260710/00339b3076e1e1bd49a79a9f362fe1ec1548.html
